title,synopsis
Crusty 4: God Bless the Freaks,"Continuing the popular series from Fleshwound Films, this highlight video shows some of the more insane things people have tried to do with motorcycles. Filled with death defying leaps from motocross events and off track leaps and hill climbs, this film moves at a frenetic pace. Several professional motocross riders, including Seth Enslow, pull off some amazing stunts and jumps. This is the fourth entry in the Crusty Demons of Dirt series."
Brüno,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.
Wassup Rockers,"Instead of adhering to the norms of their South Central neighborhood, a group of skater boys opt to bus into Hollywood and Beverly Hills, where they attract local rich girls - and plenty of trouble with the police, jealous boyfriends, and nervous parents."
The Taking of Pelham 1 2 3,"Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime."
The Yes Men Fix the World,"THE YES MEN FIX THE WORLD is a screwball true story about two gonzo political activists who, posing as top executives of giant corporations, lie their way into big business conferences and pull off the world's most outrageous pranks."
Killer Tattoo,"Set in a future Bangkok, the story picks-up after a hit-gone-wrong on ""Iron Cop"", the area police chief. The would-be killer ""Pae"", together with his equally inept collection of thugs, now become wanted men themselves as the Thai underworld bristles with the shame & dishonor of such an ignoble bungling."
Chronos,Carefully picked scenes of nature and civilization are viewed at high speed using time-lapse cinematography in an effort to demonstrate the history of various regions.
Folks!,"A slightly self absorbed yuppie takes in his parents including his senile father, after their home burns down. But his personal and professional life fall apart soon after."
The Cellar Door,"Having developed an uncontrollable obsession with the beautiful young Rudy (Michelle Tomlinson), crazed serial killer Herman (James DuMont) kidnaps her and locks her in a cage in his basement. The only way for Rudy to survive this nightmare is to outsmart her psychopathic tormentor. But Herman has experience on his side: He's entrapped and tortured other women before, playing sick and twisted mind games with his frightened victims."
Ghoulies,"A young man and his girlfriend move into the man's old mansion home, where he becomes possessed by a need to control ancient demons."
The Sandlot 2,"A decade has passed in the small town where the original Sandlot gang banded together during the summer of ’62 to play baseball and battle the Beast. Now comes the sequel, a campy romp back to the dugout where nine new kids descend on the diamond only to discover that a descendant of the Beast lives in Mr. Mertle’s backyard--a monster of mythical proportions known as ""The Great Fear."""
Gamer,"Mind-control technology has taken society by a storm, a multiplayer on-line game called ""Slayers"" allows players to control human prisoners in mass-scale. Simon controls Kable, the online champion of the game. Kable's ultimate challenge becomes regaining his identity and independence by defeating the game's mastermind."
The Stuff,"Amalgamated Dairies hires David Rutherford, an FBI man turned industrial saboteur, to investigate a popular new product called “the Stuff,” a new dessert product that is blowing ice cream sales out of the water. Nobody knows how it’s made or what’s in it, but people are lining up to buy it. It's got a delicious flavor to die for!"
Grizzly Park,A giant grizzly bear stalks 8 troubled young adults and a park ranger in a forest reserve called Grizzly Park after making the demise of an escaped serial killer.
Once Upon A Mattress,"Queen Aggravain has ruled that none may marry until her son, Prince Dauntless marries. However, she has managed to sabotage every princess that come along. When Sir Harry and Lady Larken learn that they are going to be parents, wed or not, he goes off to the swamps and brings back Princess Winnifred (""Fred"" to her friends)."
Tu£sday,"Four career criminals, two glamorous bank workers and one over-the-hill has-been all happen to be planning a robbery on a London bank on the same day, by sheer coincidence. The two investigating detectives must try and deduce how these seemingly unrelated people came to be in the area and which were responsible for the lifting a priceless emerald."
Caddyshack II,"When a crass new-money tycoon's membership application is turned down at a snooty country club, he retaliates by buying the club and turning it into a tacky amusement park."
Sergeants 3,"Mike, Chip, and Larry are three lusty, brawling U. S. Cavalry sergeants stationed in Indian Territory in 1870."
The Naked Prey,"A group of men are on safari. One of the party refuses to give a gift to a tribe they encounter. The tribe is offended, seizes the party, and one-by-one, kills all but one of the safari members in various creative and horrifying ways. The last surviving member is given ""The Lion's Chance"" by the tribal leader to be hunted down by a party of tribal warriors."
Adam Resurrected,"Before the war, in Berlin, Adam was an entertainer- cabaret impresario, magician, musician-loved by all until he finds himself in a concentration camp, confronted by Commandant Klein. Adam survives the camp by becoming the Klein's ""dog"", entertaining him while his wife and daughter are sent off to die. ""Adam Resurrected"" is the story of a man who once was a dog who meets a dog who once was a boy."
Mr. Fix It,"Lance Valenteen (David Boreanaz) makes a living as ""Mr. Fix It,"" a man who gets hired by men that have just recently been dumped by their girlfriend. Lance dates the guys' ex-girlfriend and becomes the worst date possible, sending the girl back into her ex-boyfriends arms. But when Lance gets hired by Bill Smith (Pat Healy) to get Sophia Fiori (Alana De La Garza) back, Lance, for the first time, starts falling for one of his marks."
Free Willy 3: The Rescue,"Willy the whale is back, this time threatened by illegal whalers making money off sushi. Jesse, now 16, has taken a job on an orca-researching ship, along with old friend Randolph and a sarcastic scientist, Drew. On the whaler's ship is captain John Wesley and his son, Max, who isn't really pleased about his father's job, but doesn't have the gut to say so. Along the way, Willy reunites with Jesse"
Al Franken - God Spoke,"Join filmmaking duo Chris Hegedus and Nick Doob as their cameras follow Franken to book signings, campaign rallies and the launch of Air America Radio, documenting his transformation from irreverent funnyman to political pundit."
The Celestine Prophecy,"A spiritual adventure film chronicling the discovery of ancient scrolls in the rainforests of Peru. The prophecy and its nine key insights predict a worldwide awakening, arising within all religious traditions, that moves humanity toward a deeper experience of spirituality."
Madonna: The Confessions Tour,"Filmed in its entirety at London's Wembley Arena during her worldwide sold-out 25-city Confessions Tour (2006's top-grossing tour world-wide), this concert film features songs from throughout the queen's career but largely focuses on Confessions On A Dance Floor."
Crips and Bloods: Made in America,"With a first-person look at the notorious Crips and Bloods, this film examines the conditions that have lead to decades of devastating gang violence among young African Americans growing up in South Los Angeles."
The Cry of the Owl,"A young woman becomes inexplicably attracted to a man who is stalking her. When her boyfriend goes missing, the stalker is the immediate suspect, until a game of jealousy and betrayal turns deadly."
Beautiful Dreamer,"Claire Kelly was sure her world had been torn apart forever when the love of her life, a B-24 pilot, is shot down over Europe during World War II and declared dead. When she learns her husband survived the crash, Claire is determined to find Joe and bring him home."
Ron White: Behavioral Problems,"In this special, White riffs on such wide-ranging topics such as the unintended consequences of excessive drinking, his unique approach to funding the war and the joys of a bidet. White proves that he still hasn't solved his ""behavioral problems."""
Bronson,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson."
Raising Flagg,A comedy centered on a handyman (Arkin) and his lifelong competition with his neighbor (Pendleton.)
Loving You,"Deke Rivers is a delivery man who is discovered by publicist Glenda Markle and country-western musician Tex Warner who want to promote the talented newcomer to fame and fortune, giving him every break he deserves. Romantic complications arise as Susan, another singer in the group, offers him devoted admiration as Glenda leads him on with promises of a golden future."
Dot the I,"Young lovers in London are wrapped up in a love triangle that may not be exactly what it seems. Carmen, a beautiful Spanish woman with a tendency to lose her temper at the drop of a hat, is about to be married to Barnaby, a caring, wealthy, but slightly boring Englishman. While out with friends on her 'hen night' she encounters a stranger who suddenly sparks a passion that has been sleeping within her. As her wedding date approaches, she finds herself struggling to put this newcomer out of her mind, but his effect on her keeps growing stronger. What is it that he sees in her, and why does she feel like she's being pushed inevitably into his arms?"
Tobacco Road,Shiftless Jeeter Lester and his family of sharecroppers  live in rural Georgia where their ancestors were once wealthy planters. Their slapstick existence is threatened by a bank's plans to take over the land for more profitable farming.
Freezer Burn,"A brilliant scientist falls for his wife's 14-year-old art student and, using the technology from his research, he figures out a way for them to be together."
Revenge of the Nerds III: The Next Generation,"The nerds are now in control of the university, as a result of Lewis Skolnick and the rest's actions in the two previous movies. A new generation of sportsmen arrive, however, determined on winning the school back. The principle, himself an ex-nerd fighter, helps them, and the nerds return to suppression. Harold Skolnick needs help from his uncle Lewis, the hero of the first two movies. Lewis, however, are not too proud of his nerd past, and won't reveal any of it, much less help his nephew. However, his wife makes him change his mind, and with help from his friends from the first two movies, they start the fight to win the school back, using classic nerd tricks."
Crusty Demons: A Bloodthirsty Saga,"Another year and another amazing Crusty adventure. This time we feature the world's best fmx riders going head to head for the world's most mind blowing world records. From double back flips to insande long distance jumps, the Crusty team travels the world through the extremes of Alaska, the head of Mexico and some of the best secret riding compounds of the world. Also journey throughout Australia"
The Ferryman,"Out on a dead calm ocean, in a thick fog, a group of tourists on a pleasure craft are about to cross paths with an ancient and terrible evil. Sharing the same ocean, a sick, dying old Greek man drifts alone on a stricken yacht. The Greek (John Rhys-Davies) has been cheating death for countless years. Trading broken bodies for new ones over centuries. With him he carries a deadly weapon that allows him to do this. This weapon, the Shifting Blade, gives its possessor an awesome power. But now is the time of reckoning. The Ferryman, the ancient conveyor of death and the path to the afterlife is close and he wants the Greek. There is a payment to be made."
Filth and Wisdom,Filth & Wisdom is a poignant view of the lives of three not quite ordinary friends settled into meaningless jobs that barely keep them afloat while helping to finance their dreams of bigger and brighter futures. Their unique yet universal stories capture their struggles that are at turns funny and tragic but always brutally honest. Their intertwined lives explore the inevitable: a path paved with filth will often end in wisdom and one paved with wisdom will often end in filth.
Flannel Pajamas,"A study of a relationship that starts quickly, burns bright, and then gets rocky, not from any one thing, but from an accumulation of civilization and its discontents. Stuart is glib and generous, Nicole is shy and forthright. Is love enough to see them through?"
Fled,"During a routine prison work detail, convict Piper is chained to Dodge, a cyberhacker, when gunfire breaks out. Apparently, the attack is related to stolen money that the Mafia is after, and some computer files that somebody wants desperately to bury. The pair, who don't exactly enjoy each other's company, escape and must work together if they are to reach Atlanta alive. Luckily, they meet a woman who may be willing to help them."
Flesh and Bone,"Some thirty years after Arlis witnesses his father murdering a family, he runs into Kay, who happens to be the family's baby who was spared. Kay and Arlis suspect nothing about each other, but when his father returns, old wounds are reopened."
Forever Mine,"A hotel cabana boy falls for the wife of a powerful politico. But when she confesses to the affair, her husband determines to end it forever."
Forgiving the Franklins,"A conservative, God fearing Southern family is spiritually changed by an auto accident, but who they become puts them at odds with the highly conservative values around them."
Foxfire,The story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. They build a solid friendship but their wild ways begin to get out of control.
Steel Trap,"A who-is-it setting in the claustrophobic corridors of an abandoned and locked-off office building that has several guests invited to a party by their mysterious, unknown host. Only it is they who are the victims of their crimes. Suspense and mistrust are not the only stalker in this cat and mouse game of wits and fear. Who is the stalker? Why is he killing? And what is it exactly that everyone here has in common?"
Acolytes,Three teens blackmail a serial killer into helping them get rid of a violent bully.
Soul Music,"The young druid Imp y Celyn comes to Ankh-Morpork to become a famous musician, but a new guitar from a mysterious shop possesses him with a new kind of music - the Music with Rocks In. To make matters worse, Death, saddened by the death of his adopted daughter, has gone away to try and forget, and his granddaughter Susan suddenly has the family duty passed on to her."
Oxygen,"When housewife Frances Hannon is abducted and buried alive, detective Madeline Foster is brought in. With only 24 hours before Frances' oxygen runs out, Madeline pursues the trail laid by a killer calling himself Harry Houdini. After capturing him, Madeline brings Harry back to the police station, but is unable to get him to confess where Frances is buried. As time runs down, Harry gets inside the head of unstable, alcoholic Madeline."
Gung Ho!,"A true-life epic that revolves around an exclusive bataillon of the U.S. Marine Corps during World War II, ""Carlson's Raiders,"" whose assignment is to take control of a South Pacific island once possessed by the United States but now under Japanese command."
Adrenaline Rush: The Science of Risk,"Adrenaline Rush: the Science of Risk takes audiences on a breathtaking journey from extraordinary heights, featuring spectacular footage of extreme skydiving while delving into both the biology of risk-taking and the physics that make human flight possible"
Uffe Holms Flash back,"Mere end 100 min stand-up hvor en veloplagt Uffe Holm reflekterer over udviklingen de sidste 30 år. Uffe er ikke blevet en bitter gammel mand - han synes måske bare at det er lidt fejt, at der ikke var en eneste pige i klassen der var glatbarberet i 91. Vil du se en af Danmarks bedste komikere skyde med skarpt fra sit nostalgiske hjørne, så står du med den helt rigtige dvd i hånden."
Mick Øgendahl: Tåfræser,Comedy show featuring Danish stand-up comedian Mick Øgendahl.
Made for Each Other,A couple struggle to find happiness after a whirlwind courtship.
"Food, Inc.","Documentary filmmaker Robert Kenner examines how mammoth corporations have taken over all aspects of the food chain in the United States, from the farms where our food is grown to the chain restaurants and supermarkets where it's sold. Narrated by author and activist Eric Schlosser, the film features interviews with average Americans about their dietary habits, commentary from food experts like Michael Pollan and unsettling footage shot inside large-scale animal processing plants."
Phantom Punch,"From his discovery by a priest while serving time at the Missouri State Penitentiary to the infamous 'Phantom Punch' by Cassius Clay which effectively ended his career, the movie spans the years from 1950 to Liston's mysterious and untimely death in 1971."
House of Wax,"A New York sculptor who opens a wax museum to showcase the likenesses of famous historical figures runs into trouble with his business partner, who demands that the exhibits become more extreme in order to increase profits."
King Ubu,"A grotesque Shakespearean tale of Ubu who comes to power in a bloody way. When his absurd reforms fail and the treasury gets empty, Ubu and his flatterers start implementing terror across the country."
The Very Hungry Caterpillar and Other Stories,"The Very Hungry Caterpillar and Other Stories is a compilation of five of Eric Carle’s most popular stories. In The Very Hungry Caterpillar, a tiny caterpillar eats and eats... and eats his way through the week; Papa, Please Get The Moon For Me shows a young girl asking her father for the moon, but he discovers that the moon is very, very big. The Very Quiet Cricket is about a cricket who finally finds his voice and The Mixed-Up Chameleon learns an important lesson about being himself. Finally, I See A Song invites audiences on a magical musical journey. But can you really see a song?"
The Ramen Girl,"An American woman is stranded in Tokyo after breaking up with her boyfriend. Searching for direction in life, she trains to be a râmen chef under a tyrannical Japanese master."
The Hottest State,A young actor from Texas tries to make it in New York while struggling in his relationship with a beautiful singer/songwriter.
10 to Midnight,"Based on the real-life Richard Speck murders. After his bizarre behavior results in rejection from countless women, Warren Stacy begins murdering women, always while he is naked, which minimizes any physical evidence left behind. Detective Leo Kessler is convinced of Stacy’s guilt and, over the objections of his partner, plants evidence to get him behind bars. When Stacy is released on a technicality, he threatens to go after Kessler and his family, leaving Kessler to defend himself with little help from the police."
52 Pick-Up,"Harry Mitchell is a successful Los Angeles manufacturer whose wife is running for city council. His life is turned upside down when three blackmailers confront him with a video tape of him with his young mistress and demand $100,000. Fearing that the story will hurt his wife's political campaign if he goes to the police, Harry pretends that he will pay the men, but does not follow through."
The Abductors,Someone is stealing cheerleaders and other pretty girls and selling them to the highest bidder. Female super sexy spy Ginger is soon employed to investigate the disappearances. She does so by going undercover with a fellow agent and doing whatever is necessary to put an end to the operation and take down the leaders.
The Architect,An architect engages in conflict with an activist who lives in a dangerous complex the architect designed.
Uncovered,"While restoring a fifteenth-century painting Julia reveals a hidden Latin phrase. A series of murders begin to rock her small world of art experts, patrons and restorers, and she finds that the mystery of the painting is interwoven with the mystery of the deaths around her."
Around the Fire,"Simon is an intelligent and privileged young man whose family expects him to become a Princeton graduate. Crying out for attention from his reserved and cool hearted family, Simon commits numerous petty crimes and is soon sent away to boarding school where he befriends a ""Deadhead,"" adopts the ""hippie"" lifestyle and dabbles in many drugs in his search for acceptance."
Garage,"A tragicomedy set in the world of gas stations in rural Ireland, where over-diligent employee of the garage searches for intimacy during the course of a life-changing summer."
The Jammed,A young Australian woman reluctantly agrees to help a Chinese mother search for her missing daughter and becomes involved in human trafficking and the sex slave trade.
Jimmy Carr: Live,"With his first ever DVD, Jimmy’s unique brand of humour demonstrates the observations he makes on life’s taboos using witty one-liners and offensive putdowns. Recorded during the acclaimed comedian’s sell out shows at London’s Bloomsbury theatre."
Her Best Move,"15 year-old soccer prodigy, Sara Davis, has a chance to join the U.S. National Team, but she must juggle high school, romance, sports, and parental pressure while deciding her own priorities."
Morvern Callar,"Morvern Callar wakes on Christmas morning to discover that her troubled boyfriend has died by suicide, leaving behind the unpublished manuscript to his first novel and a sum of money intended to pay for his burial. Instead, Morvern attempts to use both to reinvent her life."
Hands on a Hardbody: The Documentary,"Hands on a Hardbody: The Documentary is a 1997 film documenting an endurance competition that took place in Longview, Texas. The yearly competition pits twenty-four contestants against each other to see who can keep their hand on a pickup truck for the longest amount of time. Whoever endures the longest without leaning on the truck or squatting wins the truck."
A Global Warning?,Global warming in context. What the climate of the past tells us about the climate of the future.
Alien Planet,"The dynamic meeting of solid science and futuristic simulation culminates in a dramatic exploration to another inhabited planet seven light years away. Alien Planet creates a realistic depiction of creatures on another world, where life is possible, if not provable, according to scientists' theories. Take this fascinating journey created by state-of-the-art animation and photo-realistic effects."
Frostbite,A group of misfit slackers battle a group of egotistical snobs for snowboarding rights to a ski mountain.
The Desperate Hours,Escaped convicts terrorize a suburban family they're holding hostage.
Fugitive Pieces,A child escapes from Poland during World War II and first heads to Greece before coming of age in Canada.
Fur: An Imaginary Portrait of Diane Arbus,"In 1958 New York Diane Arbus is a housewife and mother who works as an assistant to her husband, a photographer employed by her wealthy parents. Respectable though her life is, she cannot help but feel uncomfortable in her privileged world. One night, a new neighbor catches Diane's eye, and the enigmatic man inspires her to set forth on the path to discovering her own artistry."
No Man's Land: The Rise of Reeker,"A sheriff and his son who are tracking down a group of bank robbers on their way to Mexico, only to discover that they are being stalked by a far more deadly enemy — The Reeker."
Gettin' It,"When a rumor spreads through the neighborhood that he's got more to offer than most men, an awkward virgin becomes popular beyond his wildest fantasies. Strippers, housewives and the town's most gorgeous eligible women throw themselves at him."
Go Fish,"Max is a trendy, pretty, young lesbian, who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in common. Can Max learn to look past the packaging?"
Best Laid Plans,"Rich, successful Bryce meets beautiful Lissa at a bar one night and invites her back to his house, not suspecting for a moment that Lissa isn't really who she seems. What unfolds next is a dangerous, tangled web of double-crosses and seduction."
Beyond the Law,"Dan Saxon is an undercover cop who infiltrates a biker gang to nail the scum behind a drug-smuggling operation. In order to maintain the trust of the gang's leader, he must commit ever more dangerous and heinous crimes. Just how far 'beyond the law' will Saxon go?"
A Dog's Breakfast,"If you've never been good at anything in your life, why would murder be any different? Patrick (David Hewlett) has always had a somewhat combative relationship with his little sister Marilyn (Kate Hewlett), but when she brings home her new sci-fi soap star fiancé Ryan (Paul McGillion), it's all out war. When Patrick fails to drive a wedge between the happy couple, he reaches for sharper instruments."
Slipstream,"Aging screenwriter Felix Bonhoeffer has lived his life in two states of existence: in reality and his own interior world. While working on a murder mystery script, and unaware that his brain is on the verge of implosion, Felix is baffled when his characters start to appear in his life, and vice versa."
Puzzlehead,"In a post apocalyptic world where technology is outlawed, Walter, a reclusive scientist, secretly creates a self-aware android, ""Puzzlehead"". Jealously erupts when Puzzlehead wins the affection of Julia, the beautiful shopgirl that Walter has longed for. The resulting sci-fi love triangle is a Frankensteinian fable that traps all three in a web of deception and the ultimate betrayal."
One Week,"Ben Tyler has been diagnosed with cancer. With a grim chance of survival in the best case scenario even if he immediately begins treatment, he instead decides to take a motorcycle trip from Toronto through the Canadian prairies to British Columbia."
Private Call,"In order to avenge the murder of an old friend, a recently suspended female police officer goes undercover at an illegal gambling den where the winning prize is a night with one of the female staff."
Faith of My Fathers,"Faith of My Fathers is based on the story of Lieutenant Commander John McCain's experiences as a prisoner of war in North Vietnam for five and a half years during the Vietnam War, interleaved with his memories of growing up in a heritage rich with military service."
Flaming Star,"Sam Burton's second wife is a Kiowa, and their son is therefore born mixed-race. When a struggle starts between the whites and the native Kiowas, the Burton family is split between loyalties."
G.I. Blues,"In Frankfurt, the G.I. Tulsa McLean (Elvis Presley) bets all the money his friends Cookie (Robert Ivers) and Rick (James Douglas) and he are saving to buy a night-club of their own in USA that his mate Dynamite will seduce and spend a night with the untouchable cabaret dancer Lili (Juliet Prowse). When Dynamite is transferred to Alaska, Tulsa has to replace him in the bet."
Follow That Dream,"When the Kwimper family car runs out of fuel on a new Florida highway and an officious state supervisor tries to run them off, Pop Kwimper digs in his heels and decides to do a little homesteading. He and his son Toby and their 'adopted' children—Holly, Ariadne and the twins—start their own little community along a strip of the roadside."
King Creole,"Danny Fisher, young delinquent, flunks out of high school. He quits his job as a busboy in a nightclub, and one night he gets the chance to perform. Success is imminent and the local crime boss Maxie Fields wants to hire him to perform at his night club The Blue Shade. Danny refuses, but Fields won't take no for an answer."
Tickle Me,"Elvis is a singing rodeo rider who drifts into an expensive dude ranch patronized by wealthy glamour girls. The owner, Vera Radford, hires Elvis as a stable man. Pretty physical fitness trainer Pam Merritt has a letter from her late grandfather directing her to a cache of gold in the ghost town of Silverado. The sheriff and his gang learn of the letter and plot to take it away from her."
Royal Wedding,"Tom and Ellen are asked to perform as a dance team in England at the time of Princess Elizabeth's wedding. As brother and sister, each develops a British love interest, Ellen with Lord John Brindale and Tom with dancer Anne Ashmond."
One-Eyed Jacks,"Running from the law after a bank robbery in Mexico, Dad Longworth finds an opportunity to take the stolen gold and leave his partner Rio to be captured. Years later, Rio escapes from the prison where he has been since, and hunts down Dad for revenge. Dad is now a respectable sheriff in California, and has been living in fear of Rio's return."
Under California Stars,"When Roy and Trigger arrive at his ranch he finds Cookie has hired his relatives. Caroline, the only relative that doesn't have a strong resemblance to Cookie, is the horse trainer. Bob Tells Roy a gang of men are hunting range horses. Roy puts a stop to hunting on his land. Pop decides there's money in kidnapping Trigger and demands a $100,000 ransom. McFarland's stepson, Ted, and his dog Tramp, run away and is found hiding in Roy's barn. A trap is set to catch the kidnappers ranch."
My Favorite Brunette,"Baby photographer Ronnie Jackson, on death row in San Quentin, tells reporters how he got there: taking care of his private-eye neighbor's office, Ronnie is asked by the irresistible Baroness Montay to find the missing Baron. There follow confusing but sinister doings in a gloomy mansion and a private sanatorium, with every plot twist a parody of thriller cliches."
The Story of Vernon and Irene Castle,"In 1911, minor stage comic, Vernon Castle meets the stage-struck Irene Foote. A few misadventures later, they marry and then abandon comedy to attempt a dancing career together. While they're performing in Paris, an agent sees them rehearse and starts them on their brilliant career as the world's foremost ballroom dancers. However, at the height of their fame, World War I begins."
Street Thief,"Kaspar Carr is a professional burglar who lives and works in Chicago. Carr loves his job and is good at it, and two documentary filmmakers are granted access to his private world when he agrees to let them make a film about him."
Beyoncé - The Beyoncé Experience Live,"""The Beyoncé Experience Live"" is a live DVD by American R&B singer Beyoncé Knowles that was released in the US on November 16, 2007. It was shot in Staples Center, Los Angeles, California, on September 2, 2007 during her worldwide tour The Beyoncé Experience. The DVD features guest appearances from rapper Jay-Z on ""Upgrade U"" and former Destiny's Child mates Michelle Williams and Kelly Rowland on ""Survivor"". For one night only on November 19, 2007 the show was shown in theaters across the U.S."
Caffeine,A fanciful battle of the sexes ensues when the relationships of the staff and patrons of a quirky London café are unexpectedly turned upside down by sudden revelations of terribly embarrassing secrets having to do with their sexual misadventures.
Clean Slate,"Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient."
The Apple Dumpling Gang,A roving bachelor gets saddled with three children and a wealth of trouble when the youngsters stumble upon a huge gold nugget. They join forces with two bumbling outlaws to fend off the greedy townspeople and soon find themselves facing a surly gang of sharpshooters.
Gun Crazy,"Bart Tare is an ex-Army man who has a lifelong fixation with guns, he meets a kindred spirit in sharpshooter Annie Starr and goes to work at a carnival. After upsetting the carnival owner who lusts after Starr, they both get fired. Soon, on Starr's behest, they embark on a crime spree for cash."
The Lost Treasure of the Grand Canyon,"A team of Smithsonian researchers have stumbled across a lost walled Aztec city guarded by some evil spirits, including a ""great flying serpent of death."" As days turn to weeks, Susan Jordan, the daughter of the professor leading the expedition, assembles a team to rescue her father and his colleagues from the clutches of the ancient Aztec warriors and their horrible serpent god."
UFC Fight Night 18: Condit vs. Kampmann,"UFC Fight Night: Condit vs. Kampmann, also referred to as UFC Fight Night 18, was a mixed martial arts event held by the Ultimate Fighting Championship (UFC) on April 1, 2009. The event was broadcast on Spike TV, as a prelude to the premiere of The Ultimate Fighter: United States vs. United Kingdom"
Fear City,"Strippers in Manhattan are being stalked and murdered by a psycho. A hard-nosed police detective and a conflicted ex-boxer-turned-private-eye, hired by the strip club owners, set out to find him before he strikes again."
Eye of the Beholder,"A reclusive surveillance expert is hired to spy on a mysterious blackmailer, who just may be a serial killer."
Girl Happy,"A Chicago mobster hires a rock and roll singer and his band to keep an eye on his daughter during Spring Break in Fort Lauderdale, Florida."
Shirley Valentine,"Wondering what has happened to herself, now feeling stagnant and in a rut, Shirley Valentine finds herself regularly talking to the wall while preparing her husband's chips and egg. When her best friend wins a trip-for-two to Greece Shirley begins to see the world, and herself, in a different light."
Kid Galahad,"After completing his military service, Walter Gulick takes a job as a sparring partner at a gym, the owner of which sees potential in Walter as a professional fighter—and takes him under his wing."
"Live a Little, Love a Little","Photographer Greg Nolan moonlights in two full-time jobs to pay the rent, but has trouble finding time to do them both without his bosses finding out."
Charro!,"Jess Wade is innocently accused of having stolen a cannon from the Mexican revolutionary forces. He tries to find the real culprits, a gang of criminals."
Spinout,Band singer/race driver Mike McCoy must choose between marrying a beautiful rich girl and driving her father's car in a prestigious race.
Frankie and Johnny,"Johnny is a riverboat entertainer with a big gambling problem. After a fortune-teller tells Johnny how he can change his luck, the appearance of a new 'lady luck' soon causes a cat fight with Johnny's girlfriend, Frankie."
Fun in Acapulco,"Mike works on a boat in Acapulco. When the bratty daughter of the boat owner gets him fired, Mike must find new work. Little boy Rauol helps him get a job as a lifeguard and singer at a local hotel. Clashes abound when Mike runs into the rival lifeguard, who is the champion diver of Mexico."
Speedway,A race car driver tries to outrun the beautiful tax auditor out to settle his account.
Change of Habit,"An incognito nun is on a mission to help Dr John Carpenter clean up the ghetto he lives in, but can John compete against God for her heart?"
Thieves of Fortune,A beautiful woman must perform feats of bravery in order to inherit a $28 million fortune and win the man she loves.
Jack and the Beanstalk,A young boy trades the family cow for magic beans.
Till the Clouds Roll By,"Light bio-pic of American Broadway pioneer Jerome Kern, featuring renditions of the famous songs from his musical plays by contemporary stage artists, including a condensed production of his most famous: 'Showboat'."
Being Julia,"Julia Lambert is a true diva: beautiful, talented, weathly and famous.  She has it all - including a devoted husband who has mastermined her brilliant career - but after years of shining in the spotlight she begins to suffer from a severe case of boredom and longs for something new and exciting to put the twinkle back in her eye.  Julia finds exactly what she's looking for in a handsome young American fan, but it isn't long before the novelty fling adds a few more sparks than she was hoping for.  Fortuately for her, this surprise twist in the plot will thrust her back into the greatest role of her life."
Pot o' Gold,"Jimmy, the owner of a failed music shop, goes to work with his uncle, the owner of a food factory. Before he gets there, he befriends an Irish family who happens to be his uncle's worst enemy because of their love for music and in-house band who constantly practices. Soon, Jimmy finds himself trying to help the band by getting them gigs and trying to reconcile the family with his uncle."
My Dear Secretary,"A budding young writer thinks it's her lucky day when she is chosen to be the new secretary for Owen Waterbury, famous novelist. She is soon disppointed, however, when he turns out to be an erratic, immature playboy. Opposites attract, of course, but not without sub-plots that touch on competitiveness within marriage and responsibility."
Mr. Moto's Last Warning,"A Japanese man claiming to be Mr. Moto, of the International Police, is abducted and murdered soon after disembarking from a ship at Port Said in Egypt. The real Mr. Moto is already in Port Said, investigating a conspiracy against the British and French governments."
Sherlock Holmes and the Secret Weapon,"In the midst of World War II, Sherlock Holmes rescues the Swiss inventor of a new bomb-sight from the Gestapo and brings him to England, where he shortly falls into the clutches of Professor Moriarty."
Capone,"Young Al Capone catches the eye of Johnny Torrio, a criminal visiting New York from Chicago. Torrio invites Capone to move to Illinois to help run his Prohibition-era alcohol sales operation. Capone rises through the ranks of Torrio's gang and eventually takes over. On top, he works to consolidate his power by eliminating his enemies, fixing elections to his advantage and getting rich. In his spare time, Capone courts the principled Iris Crawford."
Sands of Iwo Jima,"The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him."
The Jerky Boys,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor."
